Application_mode,Course,Father_occupation,Displaced,Debtor,Tuition_fees_up_to_date,Scholarship_holder,Age,Target_encoded,approval_rate_1st,approval_rate_2nd,avg_enrolled
1,2,10,0,0,1,0,19,1,0.0,0.0,0.0
1,14,10,0,0,1,1,19,0,1.0,1.0,5.0
1,6,8,1,0,1,0,19,0,1.0,1.0,6.0
8,13,6,1,0,1,0,19,1,0.7142857142857143,0.0,7.0
15,6,10,1,0,1,0,20,0,1.0,0.8333333333333334,6.0
8,10,4,1,0,1,0,18,0,1.0,1.0,6.0
8,12,10,1,0,1,0,19,0,1.0,1.0,7.5
1,12,9,1,0,1,1,18,1,1.0,0.875,7.5
8,5,10,1,0,1,0,18,0,1.0,1.0,6.0
1,9,9,1,0,1,0,19,0,1.0,1.0,5.0
8,12,4,1,0,1,0,19,1,0.7142857142857143,0.0,7.0
14,10,8,0,0,1,0,20,0,1.0,1.0,8.0
1,14,10,0,1,0,1,19,1,0.8333333333333334,0.6666666666666666,6.0
8,14,6,1,0,1,0,20,0,0.8,0.8,5.0
1,15,39,0,1,1,1,18,0,1.0,1.0,6.0
9,12,9,0,0,1,0,18,0,1.0,1.0,7.5
1,12,10,1,0,1,0,19,0,0.8571428571428571,0.8571428571428571,7.0
1,15,5,1,0,1,1,19,0,1.0,0.8333333333333334,6.0
1,10,11,1,0,1,1,19,0,1.0,1.0,6.0
1,12,8,1,0,1,1,19,0,1.0,1.0,7.5
8,16,7,1,0,1,1,19,0,0.8333333333333334,0.8333333333333334,6.0
1,11,10,1,0,1,0,19,1,0.0,0.0,5.0
8,11,11,1,0,1,0,20,1,0.8333333333333334,0.5,6.0
1,9,11,0,0,1,0,18,0,1.0,1.0,5.0
1,12,10,0,0,1,1,20,0,0.8571428571428571,0.875,7.5
1,6,8,0,0,1,0,19,0,1.0,1.0,5.0
1,16,10,1,0,1,0,18,0,1.0,0.8333333333333334,6.0
14,16,6,1,0,1,0,21,1,0.5,0.5,6.0
1,16,7,0,0,1,0,19,1,1.0,0.6666666666666666,6.0
1,9,10,0,0,1,1,18,0,1.0,1.0,5.0
8,10,10,1,0,1,1,18,0,1.0,1.0,6.0
1,10,11,1,0,1,0,20,0,0.6666666666666666,1.0,6.0
12,3,9,0,0,1,1,24,0,0.8333333333333334,0.8333333333333334,6.0
1,14,2,0,0,1,0,19,1,1.0,1.0,6.0
1,12,8,1,0,1,1,18,0,1.0,0.875,7.5
1,12,10,1,0,1,0,18,0,1.0,1.0,7.5
8,16,5,1,0,1,0,21,1,0.6666666666666666,0.5,6.0
8,14,5,0,0,1,0,19,0,1.0,1.0,5.0
8,15,8,0,0,1,1,19,0,1.0,1.0,6.0
8,10,9,0,0,1,0,19,0,0.8333333333333334,0.6666666666666666,6.0
12,12,2,0,0,1,0,29,0,0.875,0.875,8.0
14,10,9,1,0,1,0,21,1,0.5,0.3333333333333333,6.0
8,13,11,0,0,1,0,20,0,1.0,1.0,7.5
8,12,6,1,0,1,0,19,0,0.8571428571428571,0.8571428571428571,7.0
13,3,7,0,0,1,0,26,0,0.5,0.8333333333333334,6.0
8,11,9,1,1,0,0,20,1,0.6666666666666666,1.0,6.0
12,16,6,0,0,1,0,27,0,0.8333333333333334,0.8333333333333334,6.0
1,12,12,1,0,1,0,20,1,0.5714285714285714,0.5714285714285714,7.0
1,16,6,1,0,1,0,18,1,0.8333333333333334,0.8333333333333334,6.0
4,12,6,0,0,1,0,33,1,0.8571428571428571,0.75,7.5
14,16,4,1,0,1,0,35,0,1.0,1.0,20.0
12,15,5,0,1,0,0,27,1,0.8333333333333334,0.0,6.0
9,5,6,1,0,0,0,19,1,1.0,0.0,6.0
8,11,7,0,0,1,0,20,1,0.0,0.0,6.0
9,9,8,1,1,0,0,20,1,0.6,0.6,5.0
8,12,5,1,0,1,1,18,0,0.8571428571428571,0.8571428571428571,7.0
12,6,10,1,0,1,0,24,1,0.3333333333333333,0.0,6.0
8,5,2,1,0,1,0,20,0,1.0,1.0,6.0
1,11,9,0,0,1,1,21,0,1.0,1.0,6.0
12,9,4,1,0,1,0,24,1,0.0,0.0,5.0
16,16,11,0,0,1,0,21,1,0.0,0.0,6.0
1,12,9,1,0,1,0,18,0,0.875,0.875,8.0
12,17,5,1,0,1,0,27,1,0.0,0.0,5.0
9,12,6,1,0,1,0,18,0,1.0,1.0,8.0
4,7,3,0,0,1,0,35,1,0.0,0.0,5.0
1,16,9,0,0,1,0,18,0,1.0,1.0,7.0
1,6,8,1,0,1,0,19,0,0.8,0.8,5.0
1,10,1,1,0,1,0,20,0,1.0,1.0,6.0
1,12,8,1,0,1,0,18,0,0.875,0.875,8.0
15,10,11,0,1,1,0,21,0,1.0,1.0,6.0
8,10,9,0,0,1,1,18,0,0.8333333333333334,0.6666666666666666,6.0
1,10,1,1,0,1,0,18,0,0.6666666666666666,0.6666666666666666,6.0
1,12,10,1,0,1,0,18,0,0.875,0.875,8.0
1,15,5,1,0,1,1,18,0,1.0,1.0,6.0
1,6,8,1,0,1,0,19,0,1.0,0.8333333333333334,6.0
12,11,4,0,0,1,1,36,1,1.0,0.8333333333333334,6.0
1,12,5,1,0,1,1,18,0,0.875,0.875,8.0
1,12,10,0,0,1,1,18,0,0.8571428571428571,0.8571428571428571,7.0
14,8,3,1,0,1,1,20,0,1.0,1.0,6.0
12,17,10,0,0,1,1,26,1,0.0,0.0,5.0
14,15,6,0,0,1,0,21,0,1.0,1.0,6.0
9,9,6,1,0,1,1,19,0,1.0,1.0,5.0
12,3,8,1,0,1,0,24,1,0.16666666666666666,0.0,6.0
12,3,5,0,0,1,1,27,1,0.16666666666666666,0.0,6.0
8,6,4,0,0,1,0,21,1,0.0,0.4,5.0
1,9,8,0,0,1,1,18,0,0.8,0.6,5.0
1,16,8,0,0,1,1,19,0,1.0,1.0,6.0
1,11,4,1,0,1,0,18,1,0.6666666666666666,0.3333333333333333,6.0
16,12,10,0,0,1,1,19,0,0.7142857142857143,0.875,7.5
9,12,6,1,0,1,1,19,0,0.8571428571428571,0.875,7.5
4,17,4,0,0,1,0,33,0,1.0,1.0,5.5
4,9,11,0,0,1,0,45,0,1.0,1.0,5.0
1,10,10,0,0,1,1,20,0,1.0,1.0,6.0
12,14,1,1,0,1,0,28,1,0.0,0.0,5.0
14,12,9,1,0,1,1,19,0,0.875,0.875,8.0
1,11,6,1,0,1,0,18,0,1.0,0.5,6.0
12,11,7,0,0,1,0,38,1,0.0,0.0,6.0
1,14,4,0,0,1,0,19,0,1.0,1.0,5.0
1,11,10,0,0,1,1,21,0,0.8333333333333334,0.8333333333333334,6.0
1,9,11,0,0,1,0,21,1,0.6,0.2,5.0
1,10,10,0,0,1,1,22,0,0.8333333333333334,1.0,6.0
1,16,8,0,0,1,1,18,0,0.8333333333333334,1.0,6.0
8,10,10,0,0,1,1,18,0,1.0,1.0,6.0
1,8,10,1,0,0,0,25,1,0.8,0.8,5.0
12,6,8,0,1,0,0,24,1,0.5,0.5,6.0
1,9,6,1,0,1,1,20,0,1.0,1.0,5.0
12,9,2,0,0,0,0,25,1,0.0,0.0,5.0
1,9,11,0,0,1,1,20,0,0.9,1.0,10.0
4,12,4,0,0,1,0,23,0,1.0,1.0,8.0
8,12,7,1,0,1,1,19,0,0.875,0.875,8.0
15,4,11,0,1,0,0,29,1,0.5,0.5,6.0
1,11,8,1,0,1,0,21,0,1.0,0.6666666666666666,6.0
1,14,9,1,0,1,1,18,0,1.0,0.8333333333333334,6.0
1,15,8,1,0,1,1,18,1,1.0,1.0,6.0
1,6,7,0,0,1,0,19,0,1.0,1.0,5.0
8,9,5,0,0,1,0,18,0,1.0,1.0,5.0
12,13,8,1,1,0,1,37,1,0.14285714285714285,0.0,7.0
8,17,7,0,0,1,0,29,0,1.0,1.0,5.0
1,10,9,1,0,1,1,19,0,0.8333333333333334,0.8333333333333334,6.0
14,10,2,1,1,0,0,22,1,0.6,0.2857142857142857,8.5
1,11,8,0,0,1,1,20,0,1.0,0.8333333333333334,6.0
12,3,13,0,0,1,0,34,1,0.0,0.0,6.0
14,7,10,0,1,0,0,30,1,0.6666666666666666,0.5,12.0
1,10,5,0,0,1,0,18,0,1.0,1.0,6.0
1,10,6,0,0,1,0,18,0,1.0,1.0,6.0
1,15,4,1,0,1,0,18,0,0.6666666666666666,0.5,6.0
8,12,4,1,0,1,0,18,0,0.875,0.875,8.0
1,15,10,1,0,1,1,19,0,0.8333333333333334,0.8333333333333334,6.0
1,5,10,1,0,1,1,19,0,1.0,1.0,6.0
1,12,10,0,0,1,1,18,0,0.875,0.875,8.0
15,4,9,0,0,1,1,21,0,1.0,0.8333333333333334,6.0
1,9,10,1,0,0,0,20,1,0.4,0.2,5.0
8,9,9,1,0,1,0,20,0,1.0,1.0,5.0
1,12,6,0,0,1,0,19,0,1.0,1.0,7.5
1,10,6,0,0,1,0,20,0,1.0,1.0,6.0
8,12,11,1,0,1,0,18,0,1.0,1.0,7.5
13,16,4,0,0,1,0,20,1,0.8333333333333334,0.5,6.0
4,8,1,0,1,0,0,29,1,0.7777777777777778,0.7142857142857143,8.0
1,12,6,1,0,1,1,20,0,1.0,0.875,7.5
7,9,10,1,0,1,1,22,0,0.8,0.8,5.0
1,3,11,1,0,1,1,47,0,0.8333333333333334,1.0,6.0
16,17,5,0,0,1,0,31,0,1.0,1.0,5.0
1,5,6,0,0,1,1,21,0,0.8333333333333334,1.0,6.0
1,3,1,0,0,1,0,21,0,0.8333333333333334,1.0,6.0
12,15,5,0,0,1,0,24,0,1.0,1.0,6.0
12,3,3,0,0,1,0,32,0,0.6666666666666666,0.6666666666666666,6.0
9,3,5,1,0,1,1,19,0,1.0,1.0,6.0
12,12,2,1,0,1,0,24,0,1.0,1.0,8.0
8,6,11,1,0,1,0,19,0,1.0,1.0,6.0
15,4,7,0,1,1,1,19,0,1.0,1.0,6.0
8,10,29,1,0,1,1,18,0,1.0,1.0,6.0
1,5,7,1,0,1,1,19,1,0.8333333333333334,0.3333333333333333,6.0
1,12,5,0,0,1,1,19,0,0.875,0.875,8.0
8,15,9,1,0,1,1,18,0,1.0,1.0,6.0
1,10,4,1,0,1,0,18,0,1.0,1.0,6.0
8,13,11,1,0,1,0,20,0,1.0,1.0,7.5
1,12,8,0,0,1,0,18,0,1.0,1.0,8.0
8,14,8,1,0,1,0,18,0,1.0,1.0,6.0
1,6,10,1,0,1,1,21,0,0.8,1.0,5.0
1,12,10,0,0,1,1,18,0,1.0,1.0,7.5
16,14,6,0,1,0,0,18,1,0.4,0.8,5.0
8,10,4,1,0,1,0,19,1,0.0,0.0,6.0
8,14,6,1,0,1,0,18,0,1.0,0.6666666666666666,6.0
12,8,12,1,0,1,0,34,1,0.2,0.0,5.0
1,6,12,0,0,1,0,19,0,1.0,1.0,5.0
15,8,9,1,1,0,0,19,1,0.8333333333333334,0.3333333333333333,6.0
16,10,2,0,1,1,0,26,0,1.0,1.0,6.0
8,16,1,1,0,1,0,21,1,0.5,0.5,6.0
8,9,9,0,0,1,1,18,0,1.0,1.0,5.0
8,16,8,1,0,1,1,20,0,0.8333333333333334,0.8333333333333334,6.0
16,9,5,0,0,1,0,25,1,0.4,0.0,5.0
1,9,4,0,0,1,0,18,0,1.0,1.0,5.0
1,12,7,1,0,1,1,18,0,1.0,1.0,7.5
1,12,6,0,0,1,0,19,0,1.0,1.0,7.5
1,10,10,0,0,1,1,18,0,1.0,1.0,6.0
4,6,6,0,1,0,0,26,1,0.0,0.0,4.5
13,12,10,1,0,1,1,19,0,0.875,0.875,8.0
1,12,2,0,0,1,0,19,0,1.0,1.0,7.5
14,9,10,0,0,1,0,19,0,0.5,0.8,10.0
1,11,9,1,0,1,0,18,0,1.0,0.5,6.0
14,12,10,1,0,1,0,19,0,0.8571428571428571,0.8571428571428571,7.0
1,10,7,0,1,1,0,18,0,1.0,0.8333333333333334,6.0
15,7,8,0,1,1,0,26,1,0.0,0.0,5.0
1,10,8,1,0,1,0,20,0,1.0,1.0,6.0
1,3,11,0,0,1,0,19,0,1.0,1.0,6.0
1,10,10,1,0,1,1,18,0,1.0,1.0,6.0
15,10,8,0,0,1,0,19,0,1.0,1.0,6.0
4,16,2,0,1,1,0,40,0,1.0,1.0,7.0
1,12,8,1,0,1,1,18,0,1.0,1.0,8.0
8,10,11,0,0,1,0,19,0,0.8333333333333334,1.0,6.0
8,8,6,0,0,1,0,18,0,0.8,0.8,5.0
1,2,3,1,0,1,0,18,1,0.0,0.0,0.0
12,3,10,1,0,1,0,33,0,1.0,1.0,6.0
12,4,3,0,0,1,0,35,0,1.0,1.0,6.0
1,15,6,1,0,1,0,18,0,1.0,1.0,6.0
12,17,7,0,0,1,0,39,0,1.0,1.0,5.0
12,10,10,0,0,1,0,44,0,1.0,1.0,6.0
1,11,10,1,0,1,0,24,1,0.6666666666666666,0.6666666666666666,6.0
14,15,9,0,0,1,1,20,0,1.0,1.0,6.0
1,2,6,1,0,0,0,19,1,0.0,0.0,0.0
1,12,8,0,1,1,1,18,0,0.8571428571428571,0.8571428571428571,7.0
1,11,7,0,1,0,0,22,1,0.8333333333333334,0.0,6.0
8,6,6,1,0,1,0,18,0,1.0,1.0,6.0
12,12,10,0,0,1,0,24,0,0.8571428571428571,0.875,7.5
12,17,9,0,0,1,0,33,1,0.0,0.0,5.0
12,6,4,0,0,1,0,26,1,0.0,0.0,6.0
8,16,2,1,0,1,0,18,0,1.0,1.0,6.0
1,15,8,0,1,1,0,19,1,0.5,0.3333333333333333,6.0
17,6,9,1,0,1,1,22,0,0.7272727272727273,0.7777777777777778,10.0
1,6,6,1,0,1,1,21,0,1.0,1.0,6.0
1,12,9,1,0,1,1,21,0,0.8571428571428571,0.8571428571428571,7.0
1,16,46,1,0,1,1,19,0,1.0,0.8571428571428571,7.0
1,12,6,1,0,1,0,18,1,0.875,0.875,8.0
14,3,5,0,0,1,0,50,0,1.0,1.0,9.0
8,15,8,0,0,1,1,19,0,1.0,1.0,6.0
12,17,43,0,0,1,0,35,0,1.0,1.0,5.0
12,6,8,0,0,1,0,31,1,0.0,0.0,6.0
9,9,10,1,0,0,0,34,1,0.0,0.0,5.0
1,12,5,1,0,1,1,18,0,1.0,1.0,7.5
12,12,8,0,0,1,1,26,1,0.7142857142857143,0.75,7.5
1,16,6,0,0,1,1,19,0,1.0,1.0,6.0
17,9,2,0,0,1,0,20,0,0.8181818181818182,0.8888888888888888,10.0
1,10,1,0,0,1,0,19,0,1.0,1.0,6.0
1,16,10,0,0,1,0,18,0,1.0,1.0,6.0
12,17,10,0,0,1,0,28,0,0.7857142857142857,0.9090909090909091,12.5
15,3,8,0,0,1,1,21,0,1.0,1.0,6.0
1,15,8,1,1,0,0,18,1,0.8333333333333334,0.8333333333333334,6.0
8,6,11,0,0,0,0,20,1,0.4,0.4,5.0
8,6,4,0,0,1,0,18,0,1.0,1.0,6.0
1,12,10,1,0,1,1,19,0,0.875,0.875,8.0
16,10,11,1,0,1,0,20,0,1.0,1.0,11.0
15,6,7,1,0,1,1,22,0,1.0,0.5,6.0
8,14,9,1,1,1,0,18,1,0.8333333333333334,0.6666666666666666,6.0
8,9,5,1,0,1,0,19,1,0.6,0.0,5.0
8,12,6,1,0,1,0,19,0,0.875,0.875,8.0
1,2,10,1,0,1,0,18,0,0.0,0.0,0.0
4,5,10,1,0,1,0,21,0,1.0,1.0,12.5
12,17,10,0,0,1,0,27,0,1.0,1.0,5.0
8,10,5,0,0,1,0,19,0,1.0,1.0,6.0
12,6,1,0,0,1,0,25,1,0.0,0.0,5.0
1,12,8,1,0,1,1,18,0,0.875,0.875,8.0
12,12,9,0,0,1,0,24,0,0.875,0.875,8.0
1,12,11,1,0,1,0,20,0,1.0,0.875,7.5
4,17,7,0,0,1,0,26,0,1.0,1.0,5.0
1,10,8,1,0,1,1,20,0,1.0,1.0,6.0
1,6,12,0,0,1,0,18,0,1.0,1.0,5.0
1,6,10,1,0,1,0,19,0,1.0,1.0,6.0
1,16,10,1,0,1,0,23,1,0.8333333333333334,0.5,6.0
1,12,10,1,0,1,1,18,0,0.8571428571428571,0.8571428571428571,7.0
1,12,6,0,0,1,0,18,1,0.0,0.0,7.5
1,12,9,0,0,1,1,19,0,1.0,1.0,7.5
13,17,4,0,0,1,0,30,0,1.0,1.0,6.0
15,6,7,1,0,1,0,29,1,0.0,0.0,6.0
1,12,4,1,0,1,0,19,0,1.0,1.0,8.0
8,13,4,1,0,1,0,20,0,1.0,1.0,7.5
1,12,4,0,0,1,0,20,0,0.8571428571428571,0.8571428571428571,7.0
1,14,8,1,0,1,0,19,0,1.0,1.0,6.0
1,6,5,1,0,1,0,21,1,0.0,0.0,5.0
8,14,11,0,0,1,0,19,0,0.8333333333333334,0.6666666666666666,6.0
1,12,10,1,0,1,1,18,0,0.875,0.875,8.0
12,3,9,0,0,1,1,27,0,1.0,0.8333333333333334,6.0
8,9,9,1,0,1,1,19,0,1.0,1.0,5.0
1,12,4,0,0,1,1,19,1,0.0,0.0,7.0
1,15,9,1,0,1,0,19,0,0.8333333333333334,1.0,6.0
1,12,6,1,0,1,1,18,0,0.875,0.875,8.0
1,14,6,0,0,1,1,18,0,1.0,1.0,6.0
1,14,5,1,0,1,0,19,1,0.0,0.0,6.0
12,12,10,1,0,1,0,36,0,0.8571428571428571,0.8571428571428571,7.0
8,12,4,1,0,1,0,19,0,0.875,0.875,8.0
1,12,9,1,0,1,1,18,0,0.875,0.875,8.0
8,14,2,0,0,1,0,18,0,0.8,0.8,5.0
1,10,4,1,0,1,1,19,0,1.0,1.0,6.0
1,12,2,0,0,1,1,19,0,1.0,1.0,7.5
1,12,8,1,0,1,0,18,1,1.0,1.0,7.5
1,15,8,1,0,1,0,20,0,1.0,0.8333333333333334,6.0
9,12,6,1,0,1,0,20,0,0.875,0.875,8.0
1,12,9,1,0,1,1,18,0,0.875,0.875,8.0
1,12,6,1,0,1,0,18,0,1.0,1.0,7.5
8,6,8,0,0,1,0,19,0,1.0,1.0,5.0
12,3,13,0,0,1,0,44,0,1.0,0.3333333333333333,6.0
4,4,7,0,0,1,0,32,1,0.0,0.0,6.0
14,16,9,0,0,1,0,22,1,0.8333333333333334,0.8333333333333334,6.0
12,4,10,1,0,1,0,36,0,1.0,0.9166666666666666,12.0
8,15,8,0,0,1,1,18,0,1.0,1.0,6.0
1,8,3,1,0,1,0,20,0,1.0,1.0,5.0
16,5,8,0,0,1,1,20,0,1.0,1.0,11.0
8,10,4,0,0,1,0,19,0,0.8333333333333334,0.6666666666666666,6.0
12,9,6,1,1,1,0,24,0,1.0,1.0,5.0
14,3,4,0,0,1,0,27,1,0.9,0.45454545454545453,10.5
14,10,1,0,0,1,1,23,0,1.0,1.0,14.5
1,12,9,1,0,1,1,18,0,1.0,1.0,8.0
8,10,10,1,0,1,1,18,0,0.8333333333333334,0.8333333333333334,6.0
8,12,10,1,0,1,1,20,0,0.875,0.875,8.0
1,11,8,0,0,1,1,20,0,1.0,1.0,6.0
1,14,11,0,0,1,0,23,1,1.0,0.8333333333333334,6.0
1,12,10,1,0,1,0,20,0,0.8571428571428571,0.8571428571428571,7.0
12,11,1,1,0,0,0,28,1,0.0,0.0,5.0
1,14,6,1,0,1,0,21,0,0.8,1.0,5.0
1,13,10,1,0,1,0,21,1,1.0,0.0,4.5
4,12,1,0,0,1,0,28,1,0.0,0.0,7.5
1,12,4,0,0,1,0,18,0,0.8571428571428571,0.875,7.5
1,12,5,0,0,1,0,19,0,0.8571428571428571,1.0,7.5
9,12,2,1,0,1,1,18,0,0.875,0.875,8.0
1,12,6,0,0,1,0,19,1,0.0,0.0,7.5
1,12,6,1,0,1,1,20,0,0.8571428571428571,0.875,7.5
8,16,10,0,0,1,1,18,0,1.0,0.8333333333333334,6.0
14,14,4,1,0,1,0,20,1,1.0,0.6666666666666666,6.0
12,14,5,0,0,1,0,31,1,0.8333333333333334,0.6666666666666666,6.0
8,12,8,1,0,1,1,19,0,1.0,1.0,7.5
1,12,6,1,0,1,1,19,0,0.8571428571428571,0.875,7.5
1,5,9,0,0,1,0,23,0,1.0,1.0,6.0
1,14,6,0,0,1,0,19,0,1.0,1.0,6.0
1,12,3,1,0,1,0,20,0,0.8571428571428571,0.8571428571428571,7.0
4,8,6,0,1,0,0,27,1,0.4,0.2,5.0
12,13,10,0,0,1,0,29,1,0.14285714285714285,0.0,7.0
8,11,4,1,0,1,0,18,0,0.8333333333333334,0.8333333333333334,6.0
8,5,8,0,0,1,0,18,0,0.8333333333333334,1.0,6.0
8,12,8,0,0,1,0,18,0,1.0,1.0,8.0
8,11,10,1,0,1,0,18,0,1.0,0.8333333333333334,6.0
4,6,2,0,0,0,0,28,1,0.2,0.0,4.5
1,12,8,1,0,1,1,18,0,0.875,0.875,8.0
1,15,4,1,0,1,0,18,0,1.0,1.0,6.0
1,8,3,0,0,1,0,18,1,0.8,1.0,5.0
1,9,7,0,0,1,0,21,1,0.0,0.0,5.0
12,3,13,0,0,0,0,32,1,0.0,0.0,5.0
12,14,1,0,0,1,0,28,0,0.8,0.8,5.0
12,17,3,0,0,0,0,40,1,0.0,0.0,4.5
9,3,11,0,1,0,0,39,1,0.0,0.0,4.5
9,10,11,0,1,0,0,39,1,0.0,0.0,6.0
12,4,5,0,0,1,0,50,0,1.0,0.8333333333333334,6.0
8,16,5,1,0,1,0,23,1,0.8333333333333334,0.5,6.0
12,3,1,0,0,1,0,48,1,0.16666666666666666,0.16666666666666666,6.0
8,16,10,1,0,1,0,23,1,0.6666666666666666,0.8333333333333334,6.0
1,12,6,1,0,1,1,18,0,0.875,0.875,8.0
